trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
334,False,"{'a': 0.45, 'e': 0.9447386065426066}",25,0,-177.22984665833357,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
335,False,"{'a': 0.45, 'e': 0.944410309632643}",20,12,-18.330105899710002,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 0}",1
336,False,"{'a': 0.45, 'e': 0.9440810683124485}",25,0,-69.69587876073719,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
337,False,"{'a': 0.45, 'e': 0.9437508829112643}",25,0,-35.909035108370645,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
338,False,"{'a': 0.45, 'e': 0.9434197537592759}",25,0,-109.74916061750731,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
339,False,"{'a': 0.45, 'e': 0.9430876811876123}",35,0,-113.48559907595632,"{0: 22, 1: 5, 2: 7, 3: 0, 4: 1}",0
340,False,"{'a': 0.45, 'e': 0.9427546655283462}",20,0,-71.79034676449204,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
341,False,"{'a': 0.45, 'e': 0.9424207071144931}",35,0,-130.33366169493112,"{0: 21, 1: 4, 2: 8, 3: 1, 4: 1}",0
342,False,"{'a': 0.45, 'e': 0.9420858062800114}",20,0,-128.70982099828666,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
343,False,"{'a': 0.45, 'e': 0.941749963359802}",20,0,-63.88516088788479,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
344,False,"{'a': 0.45, 'e': 0.9414131786897075}",25,0,-124.42031870009596,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
345,False,"{'a': 0.45, 'e': 0.941075452606513}",20,0,-129.77901193599365,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
346,False,"{'a': 0.45, 'e': 0.9407367854479443}",25,0,-134.9735258239806,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
347,False,"{'a': 0.45, 'e': 0.9403971775526684}",25,0,-121.00047497107842,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
